Earnings_Year,Earnings_Canada_Yearly,Housing_Price_Year,Composite_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark,Office_year,office_region,office_property_type,office_index_value,consumer_index_year,consumer_index_value
2001,34101.08,2005,248200,219800,307200,211800,190600,1981,Seven census metropolitan area composite,Office,58.4,1979,9.3
2001,34105.76,2005,250600,222000,310600,213100,192300,1981,Seven census metropolitan area composite,Warehouse,53.3,1979,9.4
2001,34012.68,2005,253100,224600,313900,214300,193200,1981,Seven census metropolitan area composite,Shopping centre,59.3,1980,9.3
2001,33801.04,2005,255400,227100,317000,215800,194600,1981,Seven census metropolitan area composite,Light factory,50.1,1980,9.4
2001,34219.12,2005,257300,229300,318200,217300,196100,1981,Seven census metropolitan area composite,School,56.1,1980,9.3
2001,34079.76,2005,259100,230600,320700,219200,198000,1981,"Halifax, Nova Scotia",Office,66.6,1980,9.1
2001,34088.08,2005,260600,232100,321600,220900,199700,1981,"Halifax, Nova Scotia",Office,71.8,1980,9.1
2001,34346,2005,261800,233900,322500,222400,200700,1981,"Halifax, Nova Scotia",Office,77.2,1980,9.3
2001,34377.72,2005,263800,235800,324400,223900,202700,1981,"Halifax, Nova Scotia",Office,50.4,1980,9.5
2001,34301.8,2005,265000,236300,326200,225300,203700,1981,"Halifax, Nova Scotia",Office,49.7,1980,9.7
2001,34391.76,2005,265800,236900,327400,226600,204500,1981,"Halifax, Nova Scotia",Warehouse,68.6,1980,9.8
2002,34538.92,2005,266800,238300,327400,227700,206400,1981,"Halifax, Nova Scotia",Warehouse,68.1,1980,9.7
2002,34457.8,2006,270500,241300,332100,230600,208700,1981,"Halifax, Nova Scotia",Warehouse,73.3,1980,9.7
2002,34680.36,2006,275200,246400,337600,234400,212100,1981,"Halifax, Nova Scotia",Warehouse,53,1980,9.8
2002,35079.2,2006,280200,251000,343700,238900,215300,1981,"Halifax, Nova Scotia",Warehouse,53.3,1981,10.2
2002,34830.12,2006,285400,256300,349600,244000,219500,1981,"Halifax, Nova Scotia",Shopping centre,65.5,1981,10.2
2002,34931.52,2006,290800,261800,355100,250300,223700,1981,"Halifax, Nova Scotia",Shopping centre,64.5,1981,10.2
2002,35125.48,2006,294800,266000,358200,256700,227300,1981,"Halifax, Nova Scotia",Shopping centre,69.4,1981,10.4
2002,34755.24,2006,297800,268600,360600,260900,230600,1981,"Halifax, Nova Scotia",Shopping centre,59.4,1981,10.2
