consumer_index_year,consumer_index_value,office_year,office_index_value,earnings_year,earnings_canada,housing_prices_year,single_family_benchmark,single_family_hpi
1987,69.5,1987,69.8,2001,655.79,2007,328800,122.9
1987,,1987,67.7,2001,655.88,2007,334600,125.1
1987,4.1,1987,71.3,2001,654.09,2007,340300,127.2
1987,70,1987,64.8,2001,650.02,2007,345300,129.1
1987,83.5,1987,67.8,2001,658.06,2007,351200,131.3
1987,82.1,1987,70.8,2001,655.38,2007,355500,132.9
1987,83.7,1987,81.6,2001,655.54,2007,356600,133.3
1987,82.3,1987,83.8,2001,660.5,2007,357600,133.7
1987,102.6,1987,89,2001,661.11,2007,358700,134.1
1987,101.9,1987,69.2,2001,659.65,2007,358700,134.1
1987,102.1,1987,75.5,2001,661.38,2007,357600,133.7
1987,102.1,1987,87.2,2002,664.21,2007,357400,133.6
1987,102.4,1987,87.6,2002,662.65,2008,360300,134.7
1987,0.6,1987,91,2002,666.93,2008,363800,136
1987,0.7,1987,71.5,2002,674.6,2008,367000,137.2
1987,0.1,1987,77.7,2002,669.81,2008,369100,138
1987,0,1987,87.3,2002,671.76,2008,369700,138.2
1987,69.8,1987,88.5,2002,675.49,2008,368900,137.9
1987,,1987,90,2002,668.37,2008,365900,136.8
1987,4.1,1987,79.4,2002,674.85,2008,364100,136.1
1987,70.3,1987,81,2002,679.36,2008,361700,135.2
1987,83.9,1987,81.5,2002,680.13,2008,357100,133.5
1987,82.4,1987,89.6,2002,686.19,2008,352600,131.8
1987,83.9,1987,89,2007,773.73,2008,346400,129.5
1987,82.5,1987,65.1,2007,776.53,2009,344800,128.9
1987,102.9,1987,73.7,2007,784.01,2009,344800,128.9
1987,102.3,1987,81.4,2007,781.52,2009,345100,129
1987,102.5,1987,87.3,2007,784.79,2009,347700,130
1987,102.3,1987,86.2,2007,792.83,2009,351800,131.5
1987,102.6,1987,73.5,2007,788.23,2009,355000,132.7
1987,0.7,1987,73,2007,784.12,2009,358200,133.9
1987,0.6,1987,73.5,2007,790.83,2009,361400,135.1
1987,0.1,1987,72.7,2007,793.56,2009,364600,136.3
1987,0,1987,78.4,2007,799.17,2009,367300,137.3
1987,70.1,1987,65.9,2007,799.48,2009,369700,138.2
1987,,1987,66.9,2008,797.52,2009,370200,138.4
1987,4.2,1987,77.4,2008,809.57,,,
1987,70.5,1987,74.7,2008,808.43,,,
1987,84.2,1987,80,2008,810.42,,,
1987,82.8,1987,67,2008,806.89,,,
1987,84.3,1987,71.4,2008,811.88,,,
1987,82.7,1987,79.3,2008,807.36,,,
1987,103.2,1987,75.4,2008,805.97,,,
1987,102.7,1987,80.8,2008,813.15,,,
1987,102.9,1987,74.7,2008,817.93,,,
1987,102.8,1987,79,2008,818.72,,,
1987,102.9,1987,69.8,2008,814.47,,,
1987,0.4,1987,70.8,2009,815.09,,,
1987,0.2,1987,75.5,2009,824.64,,,
1987,0,1987,62.9,2009,824.29,,,
1987,0,1987,67.9,2009,817.56,,,
1987,70.4,1987,72.4,2009,815.67,,,
1987,,1987,70,2009,822.73,,,
1987,4.4,1987,76.3,2009,819.08,,,
1987,70.9,1987,69,2009,815.98,,,
1987,84.6,1987,63.8,2009,825.84,,,
1987,83.1,1987,64.9,2009,825.31,,,
1987,84.6,1987,59.8,2009,828.3,,,
1987,83.1,1987,69.3,2009,834.32,,,
1987,103.7,1987,63.4,,,,,
1987,103.1,1987,68.9,,,,,
1987,103.4,1987,63.9,,,,,
1987,103.2,1987,61.7,,,,,
1987,103.4,1987,64.7,,,,,
1987,0.2,1987,60.8,,,,,
1987,0.1,1987,70.7,,,,,
1987,0,1987,66.2,,,,,
1987,0.1,1987,62.5,,,,,
1987,70.6,1987,65.4,,,,,
1987,,1987,68.3,,,,,
1987,4.4,1987,82.9,,,,,
1987,71.3,1987,61.3,,,,,
1987,85.1,1987,66.4,,,,,
1987,83.4,1987,62.9,,,,,
1987,84.8,1987,56.2,,,,,
1987,83.3,1987,68.1,,,,,
1987,104.2,1987,64.5,,,,,
1987,103.7,1987,61.5,,,,,
1987,103.8,1987,67,,,,,
1987,103.4,1987,64.3,,,,,
1987,103.6,1987,63,,,,,
1987,0.3,1987,68.4,,,,,
1987,0.2,1987,61.9,,,,,
1987,0,1987,77.5,,,,,
1987,0,1987,61.8,,,,,
1987,70.7,1987,67.1,,,,,
1987,,1987,65.7,,,,,
1987,4.3,1987,64.5,,,,,
1987,71.5,1987,67.3,,,,,
1987,85.3,1987,58.8,,,,,
1987,83.6,1987,67.8,,,,,
1987,85.1,1987,68.3,,,,,
1987,83.5,1987,65.1,,,,,
1987,104.2,1987,68.8,,,,,
1987,104,1987,67.8,,,,,
1987,103.9,1987,75.8,,,,,
1987,103.8,1987,61.8,,,,,
1987,103.8,1987,68.5,,,,,
1987,0.3,1987,63.4,,,,,
1987,0.2,1987,57.2,,,,,
1987,0,1987,62.1,,,,,
1987,0,1987,66.3,,,,,
1987,71.3,1987,66.9,,,,,
1987,,1987,69.9,,,,,
1987,4.2,1987,60.7,,,,,
1987,71.9,1987,62.7,,,,,
1987,85.7,1987,63.6,,,,,
1987,84.3,1987,50.9,,,,,
1987,85.8,1987,70.2,,,,,
1987,84.2,1987,63,,,,,
1987,104.6,1987,76.1,,,,,
1987,104.6,1987,64.6,,,,,
1987,104.8,1987,56.5,,,,,
1987,104.6,1987,68.1,,,,,
1987,104.8,1987,61.2,,,,,
1987,0.3,1987,73.1,,,,,
1987,0.2,1987,64.4,,,,,
1987,0,1987,53.7,,,,,
1987,0,1987,67.2,,,,,
1987,71.5,1987,66.1,,,,,
1987,,1987,80.8,,,,,
1987,4.2,1987,63.5,,,,,
1987,72,1987,56.1,,,,,
1987,85.8,1987,71.3,,,,,
1987,84.5,1987,61,,,,,
1987,85.8,1987,67.1,,,,,
1987,84.5,1987,62.2,,,,,
1987,105.1,1987,52,,,,,
1987,104.7,1987,66.4,,,,,
1987,105.1,1987,63,,,,,
1987,104.7,1987,66,,,,,
1987,105.1,1987,63.2,,,,,
1987,0.3,1987,54.1,,,,,
1987,0.2,1987,68.7,,,,,
1987,0,1987,62.3,,,,,
1987,0,1987,68.7,,,,,
1987,71.7,1987,64.7,,,,,
1987,,1987,59.1,,,,,
1987,4.1,1987,66.9,,,,,
1987,72,1987,64.4,,,,,
1987,85.8,1987,69.7,,,,,
1987,84.6,1987,66.2,,,,,
1987,86,1987,57.1,,,,,
1987,84.6,1987,68.7,,,,,
1987,105.3,1987,73,,,,,
1987,104.7,1987,70.5,,,,,
1987,105.2,1987,62.7,,,,,
1987,104.9,1987,58.1,,,,,
1987,105.2,1987,67.5,,,,,
1987,0.3,1987,63.2,,,,,
1987,0.2,1987,60.6,,,,,
1987,0,1987,64.8,,,,,
1987,0,1987,57.2,,,,,
1987,72,1987,68.8,,,,,
1987,,1987,65.6,,,,,
1987,4.1,1987,64,,,,,
1987,72.2,1987,70.8,,,,,
1987,86.2,1987,69.6,,,,,
1987,85,1987,71.8,,,,,
1987,86.2,1987,70.2,,,,,
1987,84.8,1987,70.6,,,,,
1987,106.1,1987,71.3,,,,,
1987,105.1,1987,67.2,,,,,
1987,105.7,1987,72.7,,,,,
