year,index_value,index
1987,69.5,consumer_index
1987,,consumer_index
1987,4.1,consumer_index
1987,70,consumer_index
1987,83.5,consumer_index
1987,82.1,consumer_index
1987,83.7,consumer_index
1987,82.3,consumer_index
1987,102.6,consumer_index
1987,101.9,consumer_index
1987,102.1,consumer_index
1987,102.1,consumer_index
1987,102.4,consumer_index
1987,0.6,consumer_index
1987,0.7,consumer_index
1987,0.1,consumer_index
1987,0,consumer_index
1987,69.8,consumer_index
1987,,consumer_index
1987,4.1,consumer_index
1987,70.3,consumer_index
1987,83.9,consumer_index
1987,82.4,consumer_index
1987,83.9,consumer_index
1987,82.5,consumer_index
1987,102.9,consumer_index
1987,102.3,consumer_index
1987,102.5,consumer_index
1987,102.3,consumer_index
1987,102.6,consumer_index
1987,0.7,consumer_index
1987,0.6,consumer_index
1987,0.1,consumer_index
1987,0,consumer_index
1987,70.1,consumer_index
1987,,consumer_index
1987,4.2,consumer_index
1987,70.5,consumer_index
1987,84.2,consumer_index
1987,82.8,consumer_index
1987,84.3,consumer_index
1987,82.7,consumer_index
1987,103.2,consumer_index
1987,102.7,consumer_index
1987,102.9,consumer_index
1987,102.8,consumer_index
1987,102.9,consumer_index
1987,0.4,consumer_index
1987,0.2,consumer_index
1987,0,consumer_index
1987,0,consumer_index
1987,70.4,consumer_index
1987,,consumer_index
1987,4.4,consumer_index
1987,70.9,consumer_index
1987,84.6,consumer_index
1987,83.1,consumer_index
1987,84.6,consumer_index
1987,83.1,consumer_index
1987,103.7,consumer_index
1987,103.1,consumer_index
1987,103.4,consumer_index
1987,103.2,consumer_index
1987,103.4,consumer_index
1987,0.2,consumer_index
1987,0.1,consumer_index
1987,0,consumer_index
1987,0.1,consumer_index
1987,70.6,consumer_index
1987,,consumer_index
1987,4.4,consumer_index
1987,71.3,consumer_index
1987,85.1,consumer_index
1987,83.4,consumer_index
1987,84.8,consumer_index
1987,83.3,consumer_index
1987,104.2,consumer_index
1987,103.7,consumer_index
1987,103.8,consumer_index
1987,103.4,consumer_index
1987,103.6,consumer_index
1987,0.3,consumer_index
1987,0.2,consumer_index
1987,0,consumer_index
1987,0,consumer_index
1987,70.7,consumer_index
1987,,consumer_index
1987,4.3,consumer_index
1987,71.5,consumer_index
1987,85.3,consumer_index
1987,83.6,consumer_index
1987,85.1,consumer_index
1987,83.5,consumer_index
1987,104.2,consumer_index
1987,104,consumer_index
1987,103.9,consumer_index
1987,103.8,consumer_index
1987,103.8,consumer_index
1987,0.3,consumer_index
1987,0.2,consumer_index
1987,0,consumer_index
1987,0,consumer_index
1987,71.3,consumer_index
1987,,consumer_index
1987,4.2,consumer_index
1987,71.9,consumer_index
1987,85.7,consumer_index
1987,84.3,consumer_index
1987,85.8,consumer_index
1987,84.2,consumer_index
1987,104.6,consumer_index
1987,104.6,consumer_index
1987,104.8,consumer_index
1987,104.6,consumer_index
1987,104.8,consumer_index
1987,0.3,consumer_index
1987,0.2,consumer_index
1987,0,consumer_index
1987,0,consumer_index
1987,71.5,consumer_index
1987,,consumer_index
1987,4.2,consumer_index
1987,72,consumer_index
1987,85.8,consumer_index
1987,84.5,consumer_index
1987,85.8,consumer_index
1987,84.5,consumer_index
1987,105.1,consumer_index
1987,104.7,consumer_index
1987,105.1,consumer_index
1987,104.7,consumer_index
1987,105.1,consumer_index
1987,0.3,consumer_index
1987,0.2,consumer_index
1987,0,consumer_index
1987,0,consumer_index
1987,71.7,consumer_index
1987,,consumer_index
1987,4.1,consumer_index
1987,72,consumer_index
1987,85.8,consumer_index
1987,84.6,consumer_index
1987,86,consumer_index
1987,84.6,consumer_index
1987,105.3,consumer_index
1987,104.7,consumer_index
1987,105.2,consumer_index
1987,104.9,consumer_index
1987,105.2,consumer_index
1987,0.3,consumer_index
1987,0.2,consumer_index
1987,0,consumer_index
1987,0,consumer_index
1987,72,consumer_index
1987,,consumer_index
1987,4.1,consumer_index
1987,72.2,consumer_index
1987,86.2,consumer_index
1987,85,consumer_index
1987,86.2,consumer_index
1987,84.8,consumer_index
1987,106.1,consumer_index
1987,105.1,consumer_index
1987,105.7,consumer_index
1987,105.1,consumer_index
1987,105.5,consumer_index
1987,0.3,consumer_index
1987,0.2,consumer_index
1987,0,consumer_index
1987,0,consumer_index
1987,72.3,consumer_index
1987,,consumer_index
1987,4.1,consumer_index
1987,72.5,consumer_index
1987,86.5,consumer_index
1987,85.4,consumer_index
1987,86.6,consumer_index
1987,85.2,consumer_index
1987,106.4,consumer_index
1987,105.5,consumer_index
1987,106.2,consumer_index
1987,105.6,consumer_index
1987,106,consumer_index
1987,0.3,consumer_index
1987,0.2,consumer_index
1987,0,consumer_index
1987,0,consumer_index
1987,72.3,consumer_index
1987,,consumer_index
1987,3.7,consumer_index
1987,72.6,consumer_index
1987,86.6,consumer_index
1987,85.4,consumer_index
1987,86.8,consumer_index
1987,85.5,consumer_index
1987,106.3,consumer_index
1987,105.6,consumer_index
1987,106.3,consumer_index
1987,105.9,consumer_index
1987,106.4,consumer_index
1987,0.3,consumer_index
1987,0.2,consumer_index
1987,0,consumer_index
1987,0,consumer_index
1990,79,consumer_index
1990,,consumer_index
1990,4.3,consumer_index
1990,78.6,consumer_index
1990,93.9,consumer_index
1990,93.3,consumer_index
1990,93.9,consumer_index
1990,93.5,consumer_index
1990,115.9,consumer_index
1990,114.5,consumer_index
1990,116,consumer_index
1990,114.6,consumer_index
1990,116.3,consumer_index
1990,0.9,consumer_index
1990,0.9,consumer_index
1990,0.1,consumer_index
1990,0,consumer_index
1990,79.4,consumer_index
1990,,consumer_index
1990,4,consumer_index
1990,79.1,consumer_index
1990,94.5,consumer_index
1990,93.8,consumer_index
1990,94.5,consumer_index
1990,93.8,consumer_index
1990,116.2,consumer_index
1990,115.2,consumer_index
1990,116.6,consumer_index
1990,115.2,consumer_index
1990,116.7,consumer_index
1990,0.9,consumer_index
1990,0.9,consumer_index
1990,0,consumer_index
1990,0,consumer_index
1990,79.7,consumer_index
1990,,consumer_index
1990,4,consumer_index
1990,79.4,consumer_index
1990,94.8,consumer_index
1990,94.1,consumer_index
1990,94.8,consumer_index
1990,94,consumer_index
1990,116.5,consumer_index
1990,115.6,consumer_index
1990,117,consumer_index
1990,115.6,consumer_index
1990,116.9,consumer_index
1990,0.9,consumer_index
1990,0.9,consumer_index
1990,0,consumer_index
1990,0,consumer_index
1990,79.8,consumer_index
1990,,consumer_index
1990,4,consumer_index
1990,79.4,consumer_index
1990,94.7,consumer_index
1990,94.2,consumer_index
1990,94.9,consumer_index
1990,94.3,consumer_index
1990,116.7,consumer_index
1990,115.5,consumer_index
1990,117.2,consumer_index
1990,115.8,consumer_index
1990,117.3,consumer_index
1990,1,consumer_index
1990,0.9,consumer_index
1990,0,consumer_index
1990,0,consumer_index
1990,80,consumer_index
1990,,consumer_index
1990,3.8,consumer_index
1990,79.7,consumer_index
1990,95.1,consumer_index
1990,94.4,consumer_index
1990,95,consumer_index
1990,94.4,consumer_index
1990,117,consumer_index
1990,115.9,consumer_index
1990,117.4,consumer_index
1990,115.9,consumer_index
1990,117.5,consumer_index
1990,0.6,consumer_index
1990,0.6,consumer_index
1990,0.2,consumer_index
1990,0.2,consumer_index
1990,80.2,consumer_index
1990,,consumer_index
1990,4.1,consumer_index
1990,80,consumer_index
1990,95.5,consumer_index
1990,94.6,consumer_index
1990,95.4,consumer_index
1990,94.7,consumer_index
1990,117.3,consumer_index
1990,116.4,consumer_index
1990,117.6,consumer_index
1990,116.4,consumer_index
1990,117.8,consumer_index
1990,0.3,consumer_index
1990,0.3,consumer_index
1990,0,consumer_index
1990,0,consumer_index
1990,80.5,consumer_index
1990,,consumer_index
1990,4,consumer_index
1990,80.3,consumer_index
1990,95.9,consumer_index
1990,95,consumer_index
1990,95.7,consumer_index
1990,95,consumer_index
1990,117.7,consumer_index
1990,117,consumer_index
1990,118.2,consumer_index
1990,116.7,consumer_index
1990,118.2,consumer_index
1990,0.3,consumer_index
1990,0.3,consumer_index
1990,0,consumer_index
1990,0,consumer_index
1990,80.8,consumer_index
1990,,consumer_index
1990,3.9,consumer_index
1990,80.4,consumer_index
1990,96,consumer_index
1990,95.4,consumer_index
1990,96,consumer_index
1990,95.4,consumer_index
1990,117.9,consumer_index
1990,117.1,consumer_index
1990,118.6,consumer_index
1990,117.1,consumer_index
1990,118.6,consumer_index
1990,0.3,consumer_index
1990,0.3,consumer_index
1990,0,consumer_index
1990,0,consumer_index
1990,81,consumer_index
1990,,consumer_index
1990,4,consumer_index
1990,80.6,consumer_index
1990,96.2,consumer_index
1990,95.7,consumer_index
1990,96.5,consumer_index
1990,95.8,consumer_index
1990,118.3,consumer_index
1990,117.4,consumer_index
1990,119,consumer_index
1990,117.6,consumer_index
1990,119.2,consumer_index
1990,0.3,consumer_index
1990,0.3,consumer_index
1990,0,consumer_index
1990,0,consumer_index
1990,81.5,consumer_index
1990,,consumer_index
1990,4.2,consumer_index
1990,81.3,consumer_index
1990,97.1,consumer_index
1990,96.3,consumer_index
1990,97.2,consumer_index
1990,96.2,consumer_index
1990,119,consumer_index
1990,118.4,consumer_index
1990,119.7,consumer_index
1990,118.5,consumer_index
1990,119.7,consumer_index
1990,0.3,consumer_index
1990,0.3,consumer_index
