Earnings Year,Canada_Earnings_Yearly,Housing Prices Year,Single_Family_Benchmark,Composite_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
2001,34101.08,2005,267500,248200,219800,307200,211800,190600
2001,34105.76,2005,270200,250600,222000,310600,213100,192300
2001,34012.68,2005,273400,253100,224600,313900,214300,193200
2001,33801.04,2005,276100,255400,227100,317000,215800,194600
2001,34219.12,2005,277900,257300,229300,318200,217300,196100
2001,34079.76,2005,279800,259100,230600,320700,219200,198000
2001,34088.08,2005,281100,260600,232100,321600,220900,199700
2001,34346,2005,282500,261800,233900,322500,222400,200700
2001,34377.72,2005,284600,263800,235800,324400,223900,202700
2001,34301.8,2005,285700,265000,236300,326200,225300,203700
2001,34391.76,2005,286500,265800,236900,327400,226600,204500
2002,34538.92,2005,287300,266800,238300,327400,227700,206400
2002,34457.8,2006,291300,270500,241300,332100,230600,208700
2002,34680.36,2006,296700,275200,246400,337600,234400,212100
2002,35079.2,2006,302000,280200,251000,343700,238900,215300
2002,34830.12,2006,307900,285400,256300,349600,244000,219500
2002,34931.52,2006,313500,290800,261800,355100,250300,223700
2002,35125.48,2006,317200,294800,266000,358200,256700,227300
2002,34755.24,2006,319700,297800,268600,360600,260900,230600
2002,35092.2,2006,322100,300500,271200,362500,265600,233600
2002,35326.72,2006,323900,303000,272800,364300,269400,237000
2002,35366.76,2006,323900,303500,272800,364600,271900,237600
2002,35681.88,2006,324200,303800,273700,364300,273600,238200
2003,35437.48,2006,324200,304000,274100,363700,275100,238600
2003,35908.08,2007,328800,308200,278100,368300,277900,241600
2003,35512.88,2007,334600,313400,283800,374400,281700,245100
2003,35723.48,2007,340300,318600,288800,380000,286300,249400
2003,35548.76,2007,345300,323400,293700,385200,290400,253400
2003,36014.16,2007,351200,328800,299400,391000,295400,257800
2003,35831.12,2007,355500,332800,304000,394700,299700,260900
2003,35895.6,2007,356600,334300,305100,395600,301200,262800
2003,36307.44,2007,357600,335500,306000,396900,303100,264500
2003,36223.72,2007,358700,336800,306800,398100,303900,265800
2003,36394.8,2007,358700,336800,306400,398400,303100,266200
2003,36372.44,2007,357600,336000,305300,397800,302400,266200
2004,36543,2007,357400,335800,304900,398100,302000,265600
2004,36707.32,2008,360300,338000,307500,400900,303300,267000
2004,36700.04,2008,363800,341200,310400,405200,304800,269600
2004,36655.32,2008,367000,344000,313700,407900,306700,271500
2004,36876.32,2008,369100,345900,316300,409800,307700,272700
2004,36778.56,2008,369700,346200,317000,410100,308100,272700
2004,36720.32,2008,368900,345700,315900,409200,308400,272300
2004,36789.48,2008,365900,343000,313700,405800,306000,270800
2004,37007.36,2008,364100,341000,311900,403900,303500,268900
2004,36998.52,2008,361700,338500,309500,401500,300900,266400
2004,37243.96,2008,357100,334300,305300,396900,297600,262400
2004,37462.88,2008,352600,329800,300900,392600,293500,258200
2005,37746.28,2008,346400,324300,294300,387000,288900,254800
2005,38304.24,2009,344800,322100,293400,384600,286500,251000
2005,37723.92,2009,344800,321400,293900,384300,283600,248900
2005,37964.16,2009,345100,321100,293900,384900,281500,248700
2005,38094.16,2009,347700,323600,296300,387700,281700,250600
2005,38325.56,2009,351800,326800,299600,392300,282500,252900
2005,38101.44,2009,355000,329800,301800,396900,284200,255200
2005,38337,2009,358200,332800,304200,400200,286500,258200
2005,39007.8,2009,361400,335800,306400,404500,288500,260500
2005,38740,2009,364600,338700,308200,409200,291200,263300
2005,38694.24,2009,367300,341500,309900,412800,293300,265600
2005,38737.92,2009,369700,344000,311700,416200,295000,268300
2006,38787.84,2009,370200,344900,312600,416200,296900,270000
2006,39045.76,2010,375000,348900,316300,421700,299500,272500
2006,39029.64,2010,380100,353400,320500,428200,302000,275300
2006,39029.64,2010,384400,356900,324200,432500,305400,277100
2006,39018.2,2010,387100,359100,326200,435600,308100,278200
2006,39196.04,2010,388400,360300,327300,437400,309800,279000
2006,39050.96,2010,387300,359100,326400,436200,309800,276900
2006,39219.44,2010,385500,357400,325300,433700,307900,274200
